0,0.033,0.052,0.032,0.034,0.022,-0.001,0.011,0.005,0.007,0,0.113,-0.079,-0.001,0.021,-0.002,0.014,0.013,0.011,0.007,0,0.129,0.163,0.017,0.012,0.019,0.014,0.002,0.001,0.004,0,0.172,0.169,0.138,0.05,0.015,0.026,0.023,0.012,0.011,0.017,0.036,0.082,0.068,0.053,0.043,0.037,0.032,0.028,0.025,
0,0.037,-0.004,0.002,0.009,0.004,-0.002,0.006,0.002,0.002,0,0.005,0.003,0,0,0.001,0,0,0,0,0,0.026,0.002,0.018,0.011,0.023,0.005,0.015,-0.013,0.006,0.037,0.103,0.051,0.017,0.021,0.037,0.022,-0.017,0.004,0.016,0,0.113,0.05,-0.021,0.033,0.031,0.039,0.027,0.017,0.014,
0,0.058,0.011,0.004,0.007,0.008,0,0.004,-0,0.002,0,0.108,0.051,0.045,0.002,-0.003,0.005,0.012,0.003,0.006,0,0.16,0.137,0.01,0.017,0.003,0.023,0.004,0.018,0.006,0,0.106,0.026,0.041,0.026,0.023,0.007,0.007,0.014,0.001,0,0.027,0.016,0.039,0.014,0.028,0.007,0.019,0.008,0.016,
0,0.011,0.005,0.004,0.007,0.002,0.002,-0.009,0.017,0.018,0,0.004,0.006,0.012,0.006,0.008,0.001,0.003,0.005,0.008,0.006,0.003,0.006,0.005,-0,0.002,0.009,0.008,0.007,0.006,0,0.186,0.099,-0.025,-0.008,0.01,0.011,0.003,-0.002,-0.016,0,0.111,0.051,0.037,0.031,0.031,0.026,0.026,0.021,0.018,
0,0.023,0.005,0.005,0.004,0.007,0.004,0.003,0.001,0.001,0,0.019,-0.007,0.01,0.026,0.024,0.009,-0.001,0.007,0.007,0,0.032,0.053,0.014,0.009,0.012,0.012,0.002,0,0.002,0.008,0.052,0.054,0.046,0.031,0.012,0.01,0.024,0.013,0.019,0,0.163,0.075,0.015,0.037,0.026,0.011,0.01,0.01,0.008,
0,0.026,-0.049,0.031,0.045,0.03,0.03,0.007,0.008,-0.005,0,0.04,0.02,0.014,-0.007,0.005,0.007,0.006,-0.002,0.004,0.122,0.034,0.043,0.031,0.032,-0.001,0.023,0.014,0.017,0.015,-0.023,0.137,0.098,0.015,0.057,0.037,0.013,0.011,0.02,0.007,0.044,0.016,0.006,0.011,0.011,0.009,0.007,0.006,0.006,0.005,
0,0.005,-0.057,0.002,0.002,-0.002,0.006,0.001,-0.001,0,0,0.023,0.037,0.015,0.005,0.011,0.004,0.013,0.002,0,0.003,0.175,-0.004,0.052,0.041,0.021,0.019,-0.005,-0.001,0.015,0.001,0.145,0.029,0.085,0.006,0.038,0.008,0.017,-0.001,-0.006,-0.035,0.056,0.093,0.054,0.023,0.031,0.027,0.025,0.023,0.021,
-0.004,0.016,0.015,0.008,0.004,-0,0.008,0.002,0.003,0,0,0,0.045,-0.015,-0.003,0.108,0.027,-0.014,0.004,0.002,0,0.024,-0.001,0.01,0.008,0.009,0.009,-0,-0.001,0.004,0.003,0.02,0.013,0.005,0.001,0,0,0,0,0,-0.001,0.158,0.041,0.043,0.089,0.012,0.024,0.015,0.028,0.016,
0,0.01,-0.015,-0.009,0.007,0.002,-0.008,0.001,0.004,-0.006,0,-0.044,0.019,0.015,0.003,0.009,0.005,-0,0.002,0.003,0,-0.006,-0.004,0.009,0.032,0.015,0.007,0.009,0.008,0.005,-0.004,0.019,0.014,0.002,0.014,0.016,0.008,0.009,0.008,0.007,0.01,-0.011,0.072,0.001,0.016,0.005,0.004,0.013,0,0.004,
0,0.011,-0.006,0.013,-0.001,0.007,0.003,0,0.002,-0.001,0,-0.005,0.025,-0.006,0.026,-0.067,0.038,0.02,0.013,-0.001,-0.003,0.068,0.084,0.014,0.013,0.029,0.008,0.012,-0.005,0.005,0.023,0.042,0.02,0.019,0.016,0.015,0.013,0.012,0.011,0.01,0.025,-0.008,0.054,0.012,0.027,0.006,0.011,0.013,0.008,0.007,
